epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.6681,1.27908,1.01482,0.9274,0.4321,0.32738,0.32693,0.19185,1.27138,0.95996,0.90768,0.0033251,0.0033251,0.0033251
2,149.266,1.34765,1.03445,0.93665,0.43685,0.33085,0.33207,0.19554,1.29017,1.05172,0.91321,0.00661449,0.00661449,0.00661449
3,220.54,1.40459,1.05325,0.94667,0.42556,0.33564,0.33137,0.19109,1.33818,1.02482,0.93093,0.00985988,0.00985988,0.00985988
4,291.556,1.4088,1.05655,0.95147,0.41288,0.32615,0.31567,0.1867,1.33025,1.01491,0.93391,0.009802,0.009802,0.009802
5,362.034,1.39117,1.01501,0.94634,0.45199,0.35154,0.34953,0.20594,1.30036,0.96137,0.9235,0.009736,0.009736,0.009736
6,433.021,1.36152,0.98546,0.93975,0.46063,0.35044,0.35419,0.20899,1.28031,0.96718,0.91767,0.00967,0.00967,0.00967
7,504.114,1.33369,0.95221,0.93302,0.49585,0.36364,0.37321,0.22309,1.25867,0.92282,0.91022,0.009604,0.009604,0.009604
8,574.958,1.31045,0.93317,0.93001,0.48073,0.37725,0.38072,0.22668,1.25102,0.92529,0.91036,0.009538,0.009538,0.009538
9,645.984,1.30602,0.92023,0.92908,0.5008,0.37233,0.38291,0.22903,1.24472,0.91008,0.90617,0.009472,0.009472,0.009472
10,716.857,1.28372,0.89875,0.92328,0.49522,0.37068,0.39015,0.23512,1.24126,0.89637,0.90901,0.009406,0.009406,0.009406
11,787.693,1.26588,0.88284,0.91826,0.50892,0.36782,0.38205,0.22958,1.22673,0.90958,0.90645,0.00934,0.00934,0.00934
12,858.488,1.25861,0.86894,0.91646,0.51172,0.3852,0.39805,0.23892,1.21997,0.87674,0.90401,0.009274,0.009274,0.009274
13,929.218,1.25663,0.86208,0.91623,0.50691,0.39574,0.4017,0.24021,1.21829,0.87045,0.90107,0.009208,0.009208,0.009208
14,1000.02,1.24345,0.84736,0.91178,0.52985,0.38986,0.40862,0.24718,1.21057,0.8682,0.90066,0.009142,0.009142,0.009142
15,1071.02,1.22857,0.83687,0.91236,0.51221,0.39451,0.40424,0.24509,1.19991,0.86246,0.89766,0.009076,0.009076,0.009076
16,1141.5,1.22543,0.8268,0.90793,0.51482,0.39024,0.40792,0.24615,1.20743,0.86178,0.90154,0.00901,0.00901,0.00901
